target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.7382,0.026,0.04,0.134,5
RN50__attnpool,100_200,3.9453,0.047,0.11,0.355,5
RN50__attnpool,200_300,3.8624,0.0432,0.093,0.342,5
RN50__attnpool,300_400,4.3298,0.0453,0.069,0.238,5
RN50__attnpool,400_500,5.25,0.0018,0.007,0.04,5
RN50__attnpool,500_600,5.2878,0.0041,0.004,0.029,5
RN50__attnpool,600_700,5.2997,0.0024,0.008,0.03,5
RN50__attnpool,700_800,5.3086,0.0044,0.003,0.026,5
RN50__attnpool,800_900,5.3106,0.0014,0.005,0.026,5
RN50__attnpool,900_1000,5.3136,0.0031,0.006,0.024,5
RN50__attnpool__fov,0_100,4.7105,0.0442,0.05,0.142,5
RN50__attnpool__fov,100_200,3.897,0.0494,0.141,0.35,5
RN50__attnpool__fov,200_300,3.8076,0.0326,0.121,0.369,5
RN50__attnpool__fov,300_400,4.318,0.025,0.062,0.252,5
RN50__attnpool__fov,400_500,5.2476,0.0034,0.008,0.037,5
RN50__attnpool__fov,500_600,5.2858,0.0053,0.009,0.034,5
RN50__attnpool__fov,600_700,5.2986,0.0046,0.003,0.032,5
RN50__attnpool__fov,700_800,5.306,0.0039,0.006,0.029,5
RN50__attnpool__fov,800_900,5.3091,0.0014,0.005,0.021,5
RN50__attnpool__fov,900_1000,5.3113,0.0038,0.005,0.026,5
RN50__layer1,0_100,4.1153,0.0167,0.066,0.24,5
RN50__layer1,100_200,3.4707,0.0428,0.157,0.438,5
RN50__layer1,200_300,3.7407,0.0456,0.141,0.412,5
RN50__layer1,300_400,4.6296,0.0334,0.044,0.163,5
RN50__layer1,400_500,5.2441,0.0029,0.007,0.044,5
RN50__layer1,500_600,5.2853,0.0022,0.004,0.034,5
RN50__layer1,600_700,5.2947,0.0019,0.005,0.03,5
RN50__layer1,700_800,5.2981,0.0015,0.005,0.028,5
RN50__layer1,800_900,5.3003,0.0012,0.006,0.027,5
RN50__layer1,900_1000,5.3027,0.0012,0.005,0.024,5
RN50__layer1__fov,0_100,4.0516,0.0363,0.063,0.257,5
RN50__layer1__fov,100_200,3.3986,0.0497,0.157,0.477,5
RN50__layer1__fov,200_300,3.677,0.0455,0.152,0.428,5
RN50__layer1__fov,300_400,4.6088,0.038,0.054,0.164,5
RN50__layer1__fov,400_500,5.2442,0.0035,0.009,0.036,5
RN50__layer1__fov,500_600,5.2845,0.0033,0.009,0.026,5
RN50__layer1__fov,600_700,5.295,0.0016,0.003,0.029,5
RN50__layer1__fov,700_800,5.2958,0.0018,0.004,0.022,5
RN50__layer1__fov,800_900,5.3009,0.0013,0.004,0.028,5
RN50__layer1__fov,900_1000,5.3021,0.0015,0.008,0.029,5
RN50__layer2,0_100,3.9743,0.0248,0.08,0.271,5
RN50__layer2,100_200,3.1594,0.0376,0.214,0.528,5
RN50__layer2,200_300,3.513,0.0379,0.179,0.435,5
RN50__layer2,300_400,4.4205,0.0373,0.064,0.23,5
RN50__layer2,400_500,5.2328,0.0039,0.009,0.041,5
RN50__layer2,500_600,5.2814,0.0032,0.01,0.03,5
RN50__layer2,600_700,5.2948,0.0015,0.003,0.025,5
RN50__layer2,700_800,5.2966,0.0014,0.007,0.029,5
RN50__layer2,800_900,5.3018,0.0017,0.004,0.026,5
