target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,baseline,5.3085,0.0014,0.004,0.025,5
RN50__attnpool,0_100,4.758,0.006,0.032,0.135,5
RN50__attnpool,100_200,3.9516,0.0218,0.13,0.365,5
RN50__attnpool,200_300,3.8728,0.0239,0.124,0.388,5
RN50__attnpool,300_400,4.1894,0.0076,0.085,0.282,5
RN50__attnpool,400_500,5.2055,0.005,0.009,0.052,5
RN50__attnpool,500_600,5.2819,0.003,0.011,0.034,5
RN50__attnpool,600_700,5.2935,0.0022,0.005,0.026,5
RN50__attnpool,700_800,5.3028,0.0023,0.007,0.032,5
RN50__attnpool__fov,baseline,5.3075,0.0007,0.004,0.022,5
RN50__attnpool__fov,0_100,4.7624,0.0095,0.038,0.131,5
RN50__attnpool__fov,100_200,3.9263,0.0208,0.152,0.363,5
RN50__attnpool__fov,200_300,3.8473,0.0299,0.139,0.397,5
RN50__attnpool__fov,300_400,4.1682,0.0046,0.083,0.287,5
RN50__attnpool__fov,400_500,5.0801,0.1601,0.016,0.07,5
RN50__attnpool__fov,500_600,5.2821,0.0032,0.004,0.035,5
RN50__attnpool__fov,600_700,5.2951,0.0027,0.005,0.022,5
RN50__attnpool__fov,700_800,5.3021,0.001,0.005,0.025,5
RN50__layer1,baseline,5.3018,0.0009,0.004,0.022,5
RN50__layer1,0_100,4.2058,0.0292,0.05,0.224,5
RN50__layer1,100_200,3.5629,0.0602,0.124,0.43,5
RN50__layer1,200_300,3.6734,0.0209,0.16,0.43,5
RN50__layer1,300_400,4.4368,0.0396,0.067,0.231,5
RN50__layer1,400_500,5.1687,0.0614,0.012,0.058,5
RN50__layer1,500_600,5.2848,0.0004,0.006,0.033,5
RN50__layer1,600_700,5.291,0.0016,0.005,0.029,5
RN50__layer1,700_800,5.2949,0.0022,0.006,0.027,5
RN50__layer1__fov,baseline,5.3014,0.0008,0.005,0.025,5
RN50__layer1__fov,0_100,4.1795,0.0226,0.063,0.215,5
