target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,2,7.1977,4.7545,0.045,0.12
RN50__attnpool,0_100,1,2,7.1734,4.7565,0.04,0.13
RN50__attnpool,0_100,2,3,7.1563,4.6973,0.03,0.15
RN50__attnpool,0_100,3,2,7.154,4.7647,0.035,0.13
RN50__attnpool,0_100,4,2,7.1302,4.7183,0.05,0.14
RN50__attnpool,100_200,0,4,6.6932,3.9006,0.115,0.365
RN50__attnpool,100_200,1,3,6.7045,4.0282,0.11,0.33
RN50__attnpool,100_200,2,3,6.6872,3.9394,0.105,0.37
RN50__attnpool,100_200,3,4,6.6286,3.9008,0.1,0.35
RN50__attnpool,100_200,4,4,6.6407,3.9575,0.12,0.36
RN50__attnpool,200_300,0,4,6.7247,3.8627,0.085,0.33
RN50__attnpool,200_300,1,5,6.7422,3.7862,0.115,0.39
RN50__attnpool,200_300,2,4,6.7465,3.8978,0.075,0.355
RN50__attnpool,200_300,3,4,6.6957,3.8558,0.085,0.335
RN50__attnpool,200_300,4,4,6.7521,3.9097,0.105,0.3
RN50__attnpool,300_400,0,3,7.0849,4.295,0.06,0.26
RN50__attnpool,300_400,1,3,7.0739,4.2841,0.1,0.225
RN50__attnpool,300_400,2,2,7.1034,4.4126,0.055,0.23
RN50__attnpool,300_400,3,3,7.1262,4.3213,0.065,0.25
RN50__attnpool,300_400,4,3,7.105,4.336,0.065,0.225
RN50__attnpool,400_500,0,1,7.3877,5.2497,0.005,0.03
RN50__attnpool,400_500,1,1,7.3759,5.2532,0.01,0.035
RN50__attnpool,400_500,2,1,7.3804,5.2483,0.005,0.06
RN50__attnpool,400_500,3,1,7.3761,5.2485,0.01,0.035
RN50__attnpool,400_500,4,1,7.3805,5.2504,0.005,0.04
RN50__attnpool,500_600,0,1,7.425,5.2833,0.005,0.025
RN50__attnpool,500_600,1,1,7.4213,5.2942,0.0,0.035
RN50__attnpool,500_600,2,1,7.4141,5.2847,0.005,0.03
RN50__attnpool,500_600,3,1,7.4228,5.2909,0.005,0.025
RN50__attnpool,500_600,4,1,7.4118,5.2859,0.005,0.03
RN50__attnpool,600_700,0,1,7.4233,5.3009,0.005,0.035
RN50__attnpool,600_700,1,1,7.4306,5.2999,0.005,0.025
RN50__attnpool,600_700,2,1,7.4169,5.2951,0.015,0.035
RN50__attnpool,600_700,3,1,7.4256,5.3016,0.01,0.03
RN50__attnpool,600_700,4,1,7.4239,5.3009,0.005,0.025
RN50__attnpool,700_800,0,1,7.4403,5.3163,0.0,0.02
RN50__attnpool,700_800,1,1,7.4364,5.304,0.0,0.015
