target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,baseline,0,1,7.4264,5.3071,0.005,0.02
RN50__attnpool,baseline,1,1,7.4275,5.3096,0.005,0.025
RN50__attnpool,baseline,2,1,7.4275,5.3095,0.0,0.025
RN50__attnpool,baseline,3,1,7.4238,5.3099,0.005,0.025
RN50__attnpool,baseline,4,1,7.4214,5.3064,0.005,0.03
RN50__attnpool,0_100,0,3,7.2226,4.752,0.035,0.155
RN50__attnpool,0_100,1,4,7.2048,4.7524,0.025,0.155
RN50__attnpool,0_100,2,4,7.1799,4.7561,0.035,0.12
RN50__attnpool,0_100,3,3,7.1736,4.7626,0.025,0.14
RN50__attnpool,0_100,4,4,7.188,4.7672,0.04,0.105
RN50__attnpool,100_200,0,4,6.6493,3.9538,0.15,0.37
RN50__attnpool,100_200,1,4,6.6479,3.98,0.095,0.36
RN50__attnpool,100_200,2,5,6.6326,3.9148,0.15,0.35
RN50__attnpool,100_200,3,4,6.6124,3.9641,0.135,0.365
RN50__attnpool,100_200,4,4,6.6224,3.9452,0.12,0.38
RN50__attnpool,200_300,0,4,6.6759,3.8726,0.155,0.395
RN50__attnpool,200_300,1,4,6.6838,3.9009,0.105,0.38
RN50__attnpool,200_300,2,5,6.681,3.8424,0.125,0.4
RN50__attnpool,200_300,3,4,6.6229,3.898,0.11,0.375
RN50__attnpool,200_300,4,4,6.6891,3.8501,0.125,0.39
RN50__attnpool,300_400,0,3,7.022,4.1946,0.08,0.285
RN50__attnpool,300_400,1,4,7.021,4.1769,0.1,0.305
RN50__attnpool,300_400,2,3,7.0514,4.1842,0.075,0.295
RN50__attnpool,300_400,3,3,7.0215,4.1955,0.095,0.27
RN50__attnpool,300_400,4,4,7.0239,4.1956,0.075,0.255
RN50__attnpool,400_500,0,1,7.3555,5.2007,0.015,0.075
RN50__attnpool,400_500,1,1,7.3482,5.2099,0.005,0.025
RN50__attnpool,400_500,2,1,7.349,5.1992,0.005,0.065
RN50__attnpool,400_500,3,1,7.3572,5.2122,0.005,0.03
RN50__attnpool,400_500,4,1,7.3581,5.2055,0.015,0.065
RN50__attnpool,500_600,0,1,7.4211,5.2789,0.02,0.04
RN50__attnpool,500_600,1,1,7.4129,5.2861,0.005,0.02
RN50__attnpool,500_600,2,1,7.4114,5.2797,0.015,0.035
RN50__attnpool,500_600,3,1,7.414,5.285,0.005,0.03
RN50__attnpool,500_600,4,1,7.4212,5.2798,0.01,0.045
RN50__attnpool,600_700,0,1,7.4275,5.2914,0.005,0.02
RN50__attnpool,600_700,1,1,7.4198,5.2965,0.005,0.02
RN50__attnpool,600_700,2,1,7.41,5.2905,0.005,0.03
RN50__attnpool,600_700,3,1,7.4183,5.2948,0.0,0.03
RN50__attnpool,600_700,4,1,7.4308,5.2942,0.01,0.03
RN50__attnpool,700_800,0,1,7.4414,5.2996,0.005,0.04
RN50__attnpool,700_800,1,1,7.431,5.3067,0.005,0.03
RN50__attnpool,700_800,2,1,7.431,5.3019,0.01,0.025
RN50__attnpool,700_800,3,1,7.4368,5.3035,0.005,0.03
RN50__attnpool,700_800,4,1,7.4346,5.3021,0.01,0.035
RN50__attnpool__fov,baseline,0,1,7.426,5.3085,0.005,0.025
RN50__attnpool__fov,baseline,1,1,7.4246,5.3065,0.005,0.015
RN50__attnpool__fov,baseline,2,1,7.427,5.3074,0.005,0.02
RN50__attnpool__fov,baseline,3,1,7.4241,5.308,0.0,0.025
RN50__attnpool__fov,baseline,4,1,7.4196,5.3073,0.005,0.025
RN50__attnpool__fov,0_100,0,3,7.2134,4.7577,0.04,0.12
RN50__attnpool__fov,0_100,1,4,7.1993,4.7586,0.03,0.12
RN50__attnpool__fov,0_100,2,4,7.1758,4.7492,0.05,0.145
RN50__attnpool__fov,0_100,3,3,7.1763,4.7734,0.035,0.145
RN50__attnpool__fov,0_100,4,4,7.1805,4.7733,0.035,0.125
RN50__attnpool__fov,100_200,0,4,6.642,3.9304,0.16,0.38
RN50__attnpool__fov,100_200,1,4,6.6418,3.9505,0.125,0.365
RN50__attnpool__fov,100_200,2,5,6.6295,3.8876,0.175,0.335
RN50__attnpool__fov,100_200,3,4,6.6033,3.9332,0.145,0.365
RN50__attnpool__fov,100_200,4,4,6.6233,3.93,0.155,0.37
RN50__attnpool__fov,200_300,0,4,6.6709,3.8447,0.155,0.41
RN50__attnpool__fov,200_300,1,4,6.6652,3.8782,0.14,0.41
RN50__attnpool__fov,200_300,2,5,6.6711,3.8072,0.15,0.365
RN50__attnpool__fov,200_300,3,4,6.6148,3.8833,0.125,0.41
RN50__attnpool__fov,200_300,4,4,6.6729,3.8229,0.125,0.39
RN50__attnpool__fov,300_400,0,3,7.0218,4.1669,0.095,0.285
RN50__attnpool__fov,300_400,1,4,6.9975,4.1653,0.075,0.3
RN50__attnpool__fov,300_400,2,3,7.0477,4.1619,0.07,0.315
RN50__attnpool__fov,300_400,3,4,7.0058,4.1741,0.09,0.255
RN50__attnpool__fov,300_400,4,4,7.0152,4.1729,0.085,0.28
RN50__attnpool__fov,400_500,0,1,7.3546,5.2028,0.015,0.065
RN50__attnpool__fov,400_500,1,1,7.3518,5.2111,0.015,0.035
RN50__attnpool__fov,400_500,2,2,7.3468,4.9284,0.015,0.1
RN50__attnpool__fov,400_500,3,3,7.3467,4.8452,0.03,0.115
RN50__attnpool__fov,400_500,4,1,7.352,5.2131,0.005,0.035
RN50__attnpool__fov,500_600,0,1,7.4123,5.28,0.005,0.025
RN50__attnpool__fov,500_600,1,1,7.4218,5.2879,0.005,0.04
RN50__attnpool__fov,500_600,2,1,7.4115,5.279,0.005,0.035
RN50__attnpool__fov,500_600,3,1,7.4106,5.2829,0.005,0.035
RN50__attnpool__fov,500_600,4,1,7.4169,5.2808,0.0,0.04
RN50__attnpool__fov,600_700,0,1,7.419,5.2951,0.005,0.01
RN50__attnpool__fov,600_700,1,1,7.4215,5.2948,0.005,0.02
RN50__attnpool__fov,600_700,2,1,7.4093,5.2916,0.005,0.025
RN50__attnpool__fov,600_700,3,1,7.4182,5.2939,0.005,0.025
RN50__attnpool__fov,600_700,4,1,7.4221,5.2998,0.005,0.03
RN50__attnpool__fov,700_800,0,1,7.437,5.3017,0.005,0.015
RN50__attnpool__fov,700_800,1,1,7.4358,5.304,0.005,0.025
RN50__attnpool__fov,700_800,2,1,7.4333,5.3019,0.005,0.025
RN50__attnpool__fov,700_800,3,1,7.4296,5.3013,0.005,0.03
RN50__attnpool__fov,700_800,4,1,7.4273,5.3017,0.005,0.03
RN50__layer1,baseline,0,1,7.4183,5.3023,0.005,0.025
RN50__layer1,baseline,1,1,7.4275,5.3027,0.0,0.025
RN50__layer1,baseline,2,1,7.4196,5.3011,0.005,0.025
RN50__layer1,baseline,3,1,7.4193,5.3026,0.005,0.01
RN50__layer1,baseline,4,1,7.4165,5.3004,0.005,0.025
RN50__layer1,0_100,0,3,6.9374,4.2588,0.04,0.215
RN50__layer1,0_100,1,4,6.9285,4.1737,0.06,0.24
RN50__layer1,0_100,2,4,6.9199,4.2019,0.04,0.235
RN50__layer1,0_100,3,3,6.9395,4.2086,0.06,0.21
RN50__layer1,0_100,4,4,6.9535,4.1859,0.05,0.22
RN50__layer1,100_200,0,5,6.3608,3.461,0.175,0.465
RN50__layer1,100_200,1,4,6.4394,3.5707,0.13,0.425
RN50__layer1,100_200,2,4,6.4017,3.5819,0.12,0.445
RN50__layer1,100_200,3,3,6.4484,3.6477,0.095,0.385
RN50__layer1,100_200,4,4,6.4014,3.5536,0.1,0.43
RN50__layer1,200_300,0,5,6.6293,3.6457,0.175,0.425
RN50__layer1,200_300,1,4,6.6517,3.7071,0.16,0.445
RN50__layer1,200_300,2,4,6.6705,3.6727,0.14,0.43
RN50__layer1,200_300,3,5,6.6073,3.659,0.155,0.41
RN50__layer1,200_300,4,4,6.6257,3.6824,0.17,0.44
RN50__layer1,300_400,0,3,7.1598,4.4028,0.04,0.225
RN50__layer1,300_400,1,3,7.1875,4.4178,0.085,0.235
RN50__layer1,300_400,2,3,7.1376,4.4332,0.065,0.24
RN50__layer1,300_400,3,3,7.1615,4.4167,0.075,0.245
RN50__layer1,300_400,4,2,7.1779,4.5135,0.07,0.21
RN50__layer1,400_500,0,1,7.3513,5.2253,0.01,0.05
RN50__layer1,400_500,1,1,7.3601,5.2146,0.01,0.055
RN50__layer1,400_500,2,2,7.3507,5.0941,0.015,0.06
RN50__layer1,400_500,3,1,7.3777,5.2163,0.0,0.055
RN50__layer1,400_500,4,2,7.3528,5.0931,0.025,0.07
RN50__layer1,500_600,0,1,7.3967,5.285,0.005,0.035
RN50__layer1,500_600,1,1,7.4068,5.2851,0.005,0.03
RN50__layer1,500_600,2,1,7.4064,5.2849,0.01,0.04
RN50__layer1,500_600,3,1,7.4138,5.2841,0.005,0.025
RN50__layer1,500_600,4,1,7.4069,5.2851,0.005,0.035
RN50__layer1,600_700,0,1,7.4076,5.2931,0.005,0.03
RN50__layer1,600_700,1,1,7.4135,5.2888,0.005,0.035
RN50__layer1,600_700,2,1,7.4077,5.2918,0.005,0.025
RN50__layer1,600_700,3,1,7.4157,5.292,0.005,0.02
RN50__layer1,600_700,4,1,7.4132,5.2895,0.005,0.035
RN50__layer1,700_800,0,1,7.4083,5.2975,0.005,0.03
RN50__layer1,700_800,1,1,7.4196,5.2911,0.01,0.03
RN50__layer1,700_800,2,1,7.4138,5.2948,0.005,0.025
RN50__layer1,700_800,3,1,7.4261,5.2948,0.005,0.02
RN50__layer1,700_800,4,1,7.4192,5.2965,0.005,0.03
RN50__layer1__fov,baseline,0,1,7.4174,5.3015,0.005,0.03
RN50__layer1__fov,baseline,1,1,7.426,5.3024,0.005,0.025
RN50__layer1__fov,baseline,2,1,7.4187,5.3004,0.005,0.025
RN50__layer1__fov,baseline,3,1,7.4195,5.302,0.005,0.025
RN50__layer1__fov,baseline,4,1,7.42,5.3007,0.005,0.02
RN50__layer1__fov,0_100,0,3,6.9239,4.2205,0.065,0.22
RN50__layer1__fov,0_100,1,3,6.9063,4.1834,0.05,0.21
RN50__layer1__fov,0_100,2,4,6.9117,4.1715,0.075,0.215
RN50__layer1__fov,0_100,3,3,6.9256,4.1686,0.065,0.205
RN50__layer1__fov,0_100,4,4,6.9434,4.1536,0.06,0.225
RN50__layer1__fov,100_200,0,5,6.3281,3.4154,0.17,0.485
RN50__layer1__fov,100_200,1,4,6.4084,3.5116,0.155,0.43
RN50__layer1__fov,100_200,2,4,6.3697,3.4966,0.155,0.45
RN50__layer1__fov,100_200,3,3,6.4049,3.5793,0.13,0.43
RN50__layer1__fov,100_200,4,4,6.3549,3.4832,0.125,0.445
