target,window,test_loss,test_loss_std,top1,top5,n_seeds
RN50__attnpool,0_100,4.8347,0.016,0.033,0.137,5
RN50__attnpool,100_200,3.6704,0.0241,0.151,0.411,5
RN50__attnpool,200_300,3.753,0.0161,0.142,0.388,5
RN50__attnpool,300_400,4.2269,0.0146,0.067,0.245,5
RN50__attnpool,400_500,4.8779,0.0146,0.021,0.106,5
RN50__attnpool,500_600,5.2426,0.0192,0.009,0.046,5
RN50__attnpool,600_700,5.2756,0.0234,0.005,0.032,5
RN50__attnpool,700_800,5.3069,0.0094,0.004,0.02,5
RN50__attnpool,800_900,5.3247,0.0103,0.006,0.025,5
RN50__attnpool,900_1000,5.3243,0.0125,0.006,0.025,5
RN50__attnpool__fov,0_100,4.823,0.026,0.035,0.135,5
RN50__attnpool__fov,100_200,3.6532,0.0113,0.186,0.435,5
RN50__attnpool__fov,200_300,3.72,0.0251,0.153,0.407,5
RN50__attnpool__fov,300_400,4.2222,0.017,0.086,0.251,5
RN50__attnpool__fov,400_500,4.8932,0.0118,0.021,0.09,5
RN50__attnpool__fov,500_600,5.2361,0.0077,0.006,0.042,5
RN50__attnpool__fov,600_700,5.273,0.0134,0.01,0.029,5
RN50__attnpool__fov,700_800,5.303,0.0066,0.007,0.024,5
RN50__attnpool__fov,800_900,5.3227,0.0059,0.004,0.03,5
RN50__attnpool__fov,900_1000,5.3175,0.014,0.004,0.025,5
RN50__layer1,0_100,4.3208,0.0342,0.061,0.218,5
RN50__layer1,100_200,3.3321,0.014,0.17,0.516,5
RN50__layer1,200_300,3.8331,0.0234,0.094,0.318,5
RN50__layer1,300_400,4.5733,0.0145,0.063,0.185,5
RN50__layer1,400_500,5.1581,0.0057,0.019,0.07,5
RN50__layer1,500_600,5.2555,0.0143,0.004,0.038,5
RN50__layer1,600_700,5.2784,0.0058,0.006,0.041,5
RN50__layer1,700_800,5.3095,0.0091,0.005,0.028,5
RN50__layer1,800_900,5.3108,0.0057,0.007,0.028,5
