target,window,seed,best_epoch,val_loss,test_loss,top1,top5
RN50__attnpool,0_100,0,12,7.2966,4.7344,0.03,0.14
RN50__attnpool,0_100,1,12,7.2917,4.7444,0.035,0.155
RN50__attnpool,0_100,2,14,7.2876,4.7411,0.03,0.13
RN50__attnpool,0_100,3,11,7.2676,4.7554,0.055,0.11
RN50__attnpool,0_100,4,10,7.3325,4.7672,0.04,0.135
RN50__attnpool,100_200,0,18,6.7745,3.8038,0.105,0.38
RN50__attnpool,100_200,1,19,6.7004,3.7988,0.125,0.355
RN50__attnpool,100_200,2,21,6.7087,3.8092,0.1,0.395
RN50__attnpool,100_200,3,22,6.7221,3.8114,0.14,0.395
RN50__attnpool,100_200,4,20,6.7133,3.786,0.155,0.42
RN50__attnpool,200_300,0,19,6.7501,3.6857,0.14,0.405
RN50__attnpool,200_300,1,18,6.6928,3.7026,0.15,0.39
RN50__attnpool,200_300,2,21,6.7144,3.664,0.145,0.4
RN50__attnpool,200_300,3,19,6.7039,3.6937,0.175,0.385
RN50__attnpool,200_300,4,21,6.7025,3.6309,0.16,0.425
RN50__attnpool,300_400,0,19,7.0921,4.2344,0.07,0.245
RN50__attnpool,300_400,1,18,7.0416,4.2473,0.07,0.255
RN50__attnpool,300_400,2,21,7.0189,4.2067,0.085,0.23
RN50__attnpool,300_400,3,18,7.048,4.2788,0.06,0.225
RN50__attnpool,300_400,4,15,7.1097,4.2699,0.04,0.23
RN50__attnpool,400_500,0,8,7.3993,4.8222,0.035,0.125
RN50__attnpool,400_500,1,8,7.3727,4.8116,0.035,0.145
RN50__attnpool,400_500,2,7,7.4023,4.8211,0.015,0.115
RN50__attnpool,400_500,3,8,7.3701,4.8117,0.04,0.115
RN50__attnpool,400_500,4,6,7.4133,4.8729,0.01,0.09
RN50__attnpool,500_600,0,3,7.5018,5.3076,0.01,0.04
RN50__attnpool,500_600,1,3,7.4713,5.2812,0.005,0.025
RN50__attnpool,500_600,2,3,7.4777,5.3022,0.0,0.015
RN50__attnpool,500_600,3,3,7.4767,5.2913,0.01,0.04
RN50__attnpool,500_600,4,3,7.4893,5.2713,0.01,0.03
RN50__attnpool,600_700,0,2,7.5093,5.3011,0.005,0.015
RN50__attnpool,600_700,1,2,7.4864,5.3163,0.035,0.045
RN50__attnpool,600_700,2,2,7.5172,5.3289,0.005,0.02
RN50__attnpool,600_700,3,2,7.4887,5.3021,0.005,0.01
RN50__attnpool,600_700,4,2,7.4911,5.3278,0.0,0.05
RN50__attnpool,700_800,0,3,7.5209,5.319,0.0,0.015
RN50__attnpool,700_800,1,2,7.4908,5.3265,0.005,0.03
RN50__attnpool,700_800,2,3,7.5182,5.325,0.0,0.045
RN50__attnpool,700_800,3,3,7.4965,5.3019,0.02,0.04
RN50__attnpool,700_800,4,2,7.4856,5.3192,0.005,0.03
RN50__attnpool,800_900,0,2,7.5188,5.3288,0.005,0.01
RN50__attnpool,800_900,1,2,7.4933,5.3338,0.005,0.025
RN50__attnpool,800_900,2,2,7.5048,5.3499,0.005,0.015
RN50__attnpool,800_900,3,2,7.4939,5.3026,0.005,0.02
RN50__attnpool,800_900,4,2,7.4927,5.3132,0.01,0.04
RN50__attnpool,900_1000,0,2,7.5111,5.3494,0.02,0.025
RN50__attnpool,900_1000,1,2,7.5024,5.3479,0.005,0.03
