best_epoch,best_val_loss,test_loss_at_best,test_top1_at_best,test_top5_at_best,train_loss_at_best,gap_at_best,epochs_run,final_train_loss,final_val_loss,final_gap,input_dimension,n_parameters,sampling_rate,target,window,seed,samples_in_window,learning_rate,weight_decay
30,6.829113960266113,4.119930267333984,0.05999999865889549,0.29499998688697815,6.324760437011719,0.5043535232543945,30,6.324760437011719,6.829113960266113,0.5043535232543945,1575,105152,250,RN50__stem,100_200,0,25,0.0001,0.01
12,6.825597763061523,4.015996932983398,0.10999999940395355,0.3349999785423279,5.929095268249512,0.8965024948120117,20,5.716612339019775,6.842412948608398,1.125800609588623,6300,407552,1000,RN50__stem,100_200,0,100,0.0001,0.01
30,6.920346260070801,4.1032209396362305,0.08500000089406967,0.32499998807907104,6.311460018157959,0.6088862419128418,30,6.311460018157959,6.920346260070801,0.6088862419128418,1575,105152,250,RN50__stem,100_200,1,25,0.0001,0.01
11,6.914862632751465,4.0968170166015625,0.125,0.29499998688697815,5.896164894104004,1.018697738647461,19,5.657461166381836,6.957365989685059,1.2999048233032227,6300,407552,1000,RN50__stem,100_200,1,100,0.0001,0.01
10,7.304311752319336,4.9752607345581055,0.014999999664723873,0.0949999988079071,7.0663743019104,0.23793745040893555,18,6.928892135620117,7.316832065582275,0.3879399299621582,1575,105152,250,RN50__stem,300_400,0,25,0.0001,0.01
4,7.318112850189209,4.967501640319824,0.029999999329447746,0.11499999463558197,6.9669036865234375,0.3512091636657715,12,6.533106803894043,7.408769607543945,0.8756628036499023,6300,407552,1000,RN50__stem,300_400,0,100,0.0001,0.01
12,7.313507080078125,4.931800842285156,0.009999999776482582,0.07499999552965164,7.035029411315918,0.27847766876220703,20,6.921449184417725,7.32267427444458,0.40122509002685547,1575,105152,250,RN50__stem,300_400,1,25,0.0001,0.01
4,7.325385570526123,4.947101593017578,0.019999999552965164,0.07999999821186066,6.979236125946045,0.3461494445800781,12,6.529292583465576,7.416683197021484,0.8873906135559082,6300,407552,1000,RN50__stem,300_400,1,100,0.0001,0.01
9,7.477667808532715,5.266270160675049,0.004999999888241291,0.03999999910593033,7.295525550842285,0.1821422576904297,17,7.212795734405518,7.49995231628418,0.2871565818786621,1575,105152,250,RN50__stem,500_600,0,25,0.0001,0.01
4,7.489910125732422,5.300600051879883,0.009999999776482582,0.02499999850988388,7.223968505859375,0.2659416198730469,12,6.887266159057617,7.6482648849487305,0.7609987258911133,6300,407552,1000,RN50__stem,500_600,0,100,0.0001,0.01
10,7.475699424743652,5.270207405090332,0.009999999776482582,0.029999999329447746,7.298306465148926,0.17739295959472656,18,7.222260475158691,7.49560546875,0.2733449935913086,1575,105152,250,RN50__stem,500_600,1,25,0.0001,0.01
3,7.49598503112793,5.281299591064453,0.004999999888241291,0.029999999329447746,7.29124641418457,0.20473861694335938,11,6.940036296844482,7.619573593139648,0.679537296295166,6300,407552,1000,RN50__stem,500_600,1,100,0.0001,0.01
30,6.740652561187744,4.019116401672363,0.10499999672174454,0.3349999785423279,5.209933280944824,1.53071928024292,30,5.209933280944824,6.740652561187744,1.53071928024292,1575,1070592,250,RN50__attnpool,100_200,0,25,0.0001,0.01
8,6.720182418823242,4.146857261657715,0.09999999403953552,0.2849999964237213,4.713552474975586,2.0066299438476562,16,4.037237644195557,6.769065856933594,2.731828212738037,6300,3489792,1000,RN50__attnpool,100_200,0,100,0.0001,0.01
24,6.749975204467773,4.048791885375977,0.10999999940395355,0.3199999928474426,5.211612224578857,1.538362979888916,30,5.193785667419434,6.750085830688477,1.556300163269043,1575,1070592,250,RN50__attnpool,100_200,1,25,0.0001,0.01
6,6.744582176208496,4.209383010864258,0.10999999940395355,0.25,5.023056983947754,1.7215251922607422,14,4.1472907066345215,6.812860012054443,2.665569305419922,6300,3489792,1000,RN50__attnpool,100_200,1,100,0.0001,0.01
26,7.0717315673828125,4.253002166748047,0.07499999552965164,0.2800000011920929,5.596860885620117,1.4748706817626953,30,5.591516494750977,7.071784019470215,1.4802675247192383,1575,1070592,250,RN50__attnpool,300_400,0,25,0.0001,0.01
7,7.059234619140625,4.384313583374023,0.054999999701976776,0.2199999988079071,5.294801712036133,1.7644329071044922,15,4.511176586151123,7.1268415451049805,2.6156649589538574,6300,3489792,1000,RN50__attnpool,300_400,0,100,0.0001,0.01
24,7.070114612579346,4.1992716789245605,0.05999999865889549,0.26999998092651367,5.622459411621094,1.447655200958252,30,5.606159210205078,7.070476531982422,1.4643173217773438,1575,1070592,250,RN50__attnpool,300_400,1,25,0.0001,0.01
6,7.067760944366455,4.404850959777832,0.03999999910593033,0.2149999886751175,5.477941513061523,1.5898194313049316,14,4.587894916534424,7.137372016906738,2.5494771003723145,6300,3489792,1000,RN50__attnpool,300_400,1,100,0.0001,0.01
3,7.485998153686523,5.283046722412109,0.009999999776482582,0.03999999910593033,7.1043291091918945,0.3816690444946289,11,6.47764253616333,7.53190803527832,1.0542654991149902,1575,1070592,250,RN50__attnpool,500_600,0,25,0.0001,0.01
1,7.477065086364746,5.303428649902344,0.0,0.03500000014901161,7.093780040740967,0.3832850456237793,9,5.569766998291016,7.5720109939575195,2.002243995666504,6300,3489792,1000,RN50__attnpool,500_600,0,100,0.0001,0.01
2,7.494691848754883,5.355895042419434,0.004999999888241291,0.014999999664723873,7.197413444519043,0.29727840423583984,10,6.51121711730957,7.529029369354248,1.0178122520446777,1575,1070592,250,RN50__attnpool,500_600,1,25,0.0001,0.01
1,7.460205078125,5.294557571411133,0.009999999776482582,0.03500000014901161,7.09574031829834,0.36446475982666016,9,5.562234878540039,7.574819564819336,2.012584686279297,6300,3489792,1000,RN50__attnpool,500_600,1,100,0.0001,0.01
30,6.449169635772705,3.4090535640716553,0.17499999701976776,0.5249999761581421,5.389517307281494,1.059652328491211,30,5.389517307281494,6.449169635772705,1.059652328491211,1575,1070592,250,ViT-B-16__block2,100_200,0,25,0.0001,0.01
19,6.487922668457031,3.3652424812316895,0.1899999976158142,0.5,4.572723865509033,1.915198802947998,27,4.471524238586426,6.497000217437744,2.0254759788513184,6300,3489792,1000,ViT-B-16__block2,100_200,0,100,0.0001,0.01
30,6.499117851257324,3.396031379699707,0.19499999284744263,0.5,5.382111549377441,1.1170063018798828,30,5.382111549377441,6.499117851257324,1.1170063018798828,1575,1070592,250,ViT-B-16__block2,100_200,1,25,0.0001,0.01
12,6.546483039855957,3.456052303314209,0.17499999701976776,0.4899999797344208,4.828481674194336,1.718001365661621,20,4.511064529418945,6.5660600662231445,2.054995536804199,6300,3489792,1000,ViT-B-16__block2,100_200,1,100,0.0001,0.01
12,7.202539443969727,4.5663933753967285,0.04999999701976776,0.2149999886751175,6.471823692321777,0.7307157516479492,20,6.275091171264648,7.21710205078125,0.9420108795166016,1575,1070592,250,ViT-B-16__block2,300_400,0,25,0.0001,0.01
5,7.21258020401001,4.637414932250977,0.04999999701976776,0.14999999105930328,6.343728065490723,0.8688521385192871,13,5.681131362915039,7.286561965942383,1.6054306030273438,6300,3489792,1000,ViT-B-16__block2,300_400,0,100,0.0001,0.01
14,7.215056419372559,4.538007736206055,0.06499999761581421,0.22999998927116394,6.40140438079834,0.8136520385742188,22,6.247652053833008,7.2249836921691895,0.9773316383361816,1575,1070592,250,ViT-B-16__block2,300_400,1,25,0.0001,0.01
4,7.200405120849609,4.700268745422363,0.029999999329447746,0.1599999964237213,6.471837520599365,0.7285676002502441,12,5.728641986846924,7.291787147521973,1.5631451606750488,6300,3489792,1000,ViT-B-16__block2,300_400,1,100,0.0001,0.01
3,7.443800926208496,5.248239517211914,0.014999999664723873,0.054999999701976776,7.249136924743652,0.19466400146484375,11,6.872289657592773,7.491746425628662,0.6194567680358887,1575,1070592,250,ViT-B-16__block2,500_600,0,25,0.0001,0.01
1,7.441375732421875,5.259934425354004,0.02499999850988388,0.03999999910593033,7.250253677368164,0.19112205505371094,9,6.429612159729004,7.579564571380615,1.1499524116516113,6300,3489792,1000,ViT-B-16__block2,500_600,0,100,0.0001,0.01
2,7.440544605255127,5.258092880249023,0.009999999776482582,0.054999999701976776,7.294559478759766,0.14598512649536133,10,6.892221450805664,7.4842529296875,0.5920314788818359,1575,1070592,250,ViT-B-16__block2,500_600,1,25,0.0001,0.01
1,7.44681978225708,5.260176658630371,0.0,0.03500000014901161,7.235922813415527,0.21089696884155273,9,6.366039276123047,7.589711666107178,1.2236723899841309,6300,3489792,1000,ViT-B-16__block2,500_600,1,100,0.0001,0.01
30,6.8268914222717285,4.2062273025512695,0.10499999672174454,0.22499999403953552,5.132336616516113,1.6945548057556152,30,5.132336616516113,6.8268914222717285,1.6945548057556152,1575,1070592,250,ViT-B-16__block12,100_200,0,25,0.0001,0.01
8,6.823456764221191,4.317598342895508,0.05999999865889549,0.2549999952316284,4.552277565002441,2.27117919921875,16,3.824742317199707,6.8792243003845215,3.0544819831848145,6300,3489792,1000,ViT-B-16__block12,100_200,0,100,0.0001,0.01
26,6.82611083984375,4.219049453735352,0.0949999988079071,0.28999999165534973,5.134774208068848,1.6913366317749023,30,5.129017353057861,6.8261613845825195,1.6971440315246582,1575,1070592,250,ViT-B-16__block12,100_200,1,25,0.0001,0.01
6,6.839908123016357,4.362007141113281,0.08500000089406967,0.25999999046325684,4.90760612487793,1.9323019981384277,14,3.962714672088623,6.894168853759766,2.9314541816711426,6300,3489792,1000,ViT-B-16__block12,100_200,1,100,0.0001,0.01
30,7.1159210205078125,4.384267807006836,0.05999999865889549,0.25999999046325684,5.481158256530762,1.6347627639770508,30,5.481158256530762,7.1159210205078125,1.6347627639770508,1575,1070592,250,ViT-B-16__block12,300_400,0,25,0.0001,0.01
8,7.099616050720215,4.570180892944336,0.03999999910593033,0.17000000178813934,4.9441752433776855,2.1554408073425293,16,4.1913604736328125,7.151800632476807,2.960440158843994,6300,3489792,1000,ViT-B-16__block12,300_400,0,100,0.0001,0.01
28,7.112978935241699,4.423496246337891,0.03500000014901161,0.2449999898672104,5.490311622619629,1.6226673126220703,30,5.489345550537109,7.11298942565918,1.6236438751220703,1575,1070592,250,ViT-B-16__block12,300_400,1,25,0.0001,0.01
7,7.126601219177246,4.531316757202148,0.054999999701976776,0.17000000178813934,5.121187210083008,2.0054140090942383,15,4.273257255554199,7.183511734008789,2.91025447845459,6300,3489792,1000,ViT-B-16__block12,300_400,1,100,0.0001,0.01
3,7.518368721008301,5.293549537658691,0.009999999776482582,0.044999998062849045,7.0531110763549805,0.4652576446533203,11,6.343459606170654,7.555933475494385,1.2124738693237305,1575,1070592,250,ViT-B-16__block12,500_600,0,25,0.0001,0.01
1,7.496031761169434,5.314623832702637,0.0,0.029999999329447746,7.043964385986328,0.45206737518310547,9,5.301017761230469,7.578536510467529,2.2775187492370605,6300,3489792,1000,ViT-B-16__block12,500_600,0,100,0.0001,0.01
3,7.526482582092285,5.34645938873291,0.004999999888241291,0.02499999850988388,7.031737804412842,0.49474477767944336,11,6.321685791015625,7.54774284362793,1.2260570526123047,1575,1070592,250,ViT-B-16__block12,500_600,1,25,0.0001,0.01
1,7.504184246063232,5.286849021911621,0.014999999664723873,0.02499999850988388,7.019377708435059,0.48480653762817383,9,5.260036945343018,7.5664753913879395,2.306438446044922,6300,3489792,1000,ViT-B-16__block12,500_600,1,100,0.0001,0.01
30,6.396851539611816,3.4197816848754883,0.1899999976158142,0.4899999797344208,5.346487998962402,1.050363540649414,30,5.346487998962402,6.396851539611816,1.050363540649414,1575,1070592,250,ViT-L-14__block4,100_200,0,25,0.0001,0.01
16,6.425533771514893,3.3995513916015625,0.1850000023841858,0.4749999940395355,4.652652740478516,1.772881031036377,24,4.480031490325928,6.430130958557129,1.9500994682312012,6300,3489792,1000,ViT-L-14__block4,100_200,0,100,0.0001,0.01
